Organization,Compound,Date,Negative,Neutral,Positive,Text,Tweets
BBC,0.0,Fri Sep 07 20:27:13 +0000 2018,1.0,0.0,0.0,@xs4all Nieuwe in-browser TV is een flinke verbetering. Dank. Toch ervaar ik een probleem dat sommige zenders sinds… https://t.co/P1XvpxRr4u,1
BBC,-0.2912,Fri Sep 07 20:27:12 +0000 2018,0.892,0.108,0.0,@Wailway7 @peoplesvote_uk I'm not really sure what you are talking about. They still haven't sorted out citizens ri… https://t.co/UV9tAKnDW6,2
BBC,-0.2732,Fri Sep 07 20:27:12 +0000 2018,0.909,0.091,0.0,"RT @pilitaclark: New BBC guidelines for covering climate change say outright deniers aren't needed for balance, ""in the same way you would…",3
BBC,0.0,Fri Sep 07 20:27:12 +0000 2018,1.0,0.0,0.0,BBC News - Spain parishioner botches Jesus and Mary statue restoration https://t.co/PwLdkgh5QU,4
BBC,0.5346,Fri Sep 07 20:27:10 +0000 2018,0.736,0.061,0.203,RT @simon_reeve: Not convinced by this at all. Most plastic is on sea bed. enthusiasm is great but we need to be stopping it getting into o…,5
BBC,-0.3566,Fri Sep 07 20:27:08 +0000 2018,0.85,0.15,0.0,RT @ChrisJSquire: A quick look at some of the councils under the most financial pressure https://t.co/JYess0XBST,6
BBC,0.4588,Fri Sep 07 20:27:08 +0000 2018,0.88,0.0,0.12,"RT @thebabblewagon: We told you Boyan Slat was gonna be big back in episode #82: https://t.co/SPVMVWwYLV

(No we didn’t, we laughed at his…",7
BBC,0.25,Fri Sep 07 20:27:08 +0000 2018,0.92,0.0,0.08,RT @MikScarlet: Popped down to BBC to do a quick interview about rail travel &amp; had a chance to catch Lenny Kravitz perform his new single.…,8
BBC,0.25,Fri Sep 07 20:27:07 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",9
BBC,0.25,Fri Sep 07 20:27:07 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",10
BBC,0.0,Fri Sep 07 20:27:07 +0000 2018,1.0,0.0,0.0,"'It's the day when I can remove my mask' https://t.co/9ksD10Niih : September 07, 2018 at 08:57PM via mikejulietbravo",11
BBC,0.0,Fri Sep 07 20:27:07 +0000 2018,1.0,0.0,0.0,"Spain parishioner botches Jesus and Mary statue restoration https://t.co/reGaj9vT51 : September 07, 2018 at 08:52PM via mikejulietbravo",12
BBC,0.25,Fri Sep 07 20:27:06 +0000 2018,0.917,0.0,0.083,"RT @Rainmaker1973: James Burke had only one chance to nail this scene. A clip from the 1978 BBC television show Connections, season 1, epis…",13
BBC,-0.5106,Fri Sep 07 20:27:05 +0000 2018,0.87,0.13,0.0,"RT @Paddideh: Examples of extreme poverty and economic mismanagement by Mullahs' regime in the past 39 years, these schools in south east o…",14
BBC,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,"We don’t deserve do-

Wait. https://t.co/EnuSrRee06",15
BBC,0.0,Fri Sep 07 20:27:04 +0000 2018,1.0,0.0,0.0,@JustABhoy Sitting catching up on tv I’ve not watched for weeks and scanning bbc website for the score. Shambolic,16
BBC,0.7177,Fri Sep 07 20:27:03 +0000 2018,0.76,0.0,0.24,"RT @CarolineLucas: Brilliant to see BBC finally setting things straight! “To achieve impartiality, you do not need to include outright deni…",17
BBC,0.0,Fri Sep 07 20:27:02 +0000 2018,1.0,0.0,0.0,#Nowplaying Silent letters - BBC Radio (6 Minute Vocabulary) https://t.co/crUoXQbA6X,18
BBC,0.0,Fri Sep 07 20:27:02 +0000 2018,1.0,0.0,0.0,I added a video to a @YouTube playlist https://t.co/UmscFcZnt2 BBC Victorian Farm Episode 1: The Teams Year Begins,19
BBC,0.2263,Fri Sep 07 20:27:01 +0000 2018,0.924,0.0,0.076,"RT @ChrisGPackham: I know , let’s go back to living in caves . . . We must not go back on this - Japan says it's time to allow sustainable…",20
BBC,0.2023,Fri Sep 07 20:27:01 +0000 2018,0.924,0.0,0.076,RT @BBCAfrica: Meet the street kids from Lagos tipped for the top by Rihanna and Naomi Campbell 💃🕺 (Via BBC News Pidgin) https://t.co/VPMoS…,21
BBC,0.4199,Fri Sep 07 20:27:01 +0000 2018,0.903,0.0,0.097,"RT @RockChoir: We’re almost at Hyde Park ready for sound checks and to get a first glimpse of the BBC Proms in the Park stage!🤗

Who else i…",22
BBC,0.0,Fri Sep 07 20:27:00 +0000 2018,1.0,0.0,0.0,"RT @bbcmundo: ""La homofobia es una admisión implícita de un deseo homosexual, consciente o inconsciente"": entrevista con André Aciman, auto…",23
BBC,-0.7506,Fri Sep 07 20:27:00 +0000 2018,0.709,0.291,0.0,"RT @BBCSport: Anyone confused about what the Nations League actually is?

Worry no more.

We have an explainer for you.

https://t.co/cO8Lo…",24
BBC,-0.0772,Fri Sep 07 20:26:59 +0000 2018,0.936,0.064,0.0,"RT @MsHelenWatts: This is serious. The CEO of @Genderintell, the organisation advising @Girlguiding on trans issues, also advised the Priso…",25
BBC,0.2846,Fri Sep 07 20:26:59 +0000 2018,0.915,0.0,0.085,"RT @FullyChargedDan: Delighted to see sense has arrived, but just how rudderless and utterly out of touch are the BBC’s employees to even n…",26
BBC,0.128,Fri Sep 07 20:26:59 +0000 2018,0.766,0.105,0.129,RT @martynwarwick: @AndrewD85231695 @redtailshark159 Another balanced BBC discussion on the Labour Party with three Tories &amp; no representat…,27
BBC,0.7088,Fri Sep 07 20:26:58 +0000 2018,0.781,0.0,0.219,RT @NeptunesArmy: We are delighted to announce @IoloWilliams2 as our very first patron! Iolo has supported us for many years and has featur…,28
BBC,-0.6486,Fri Sep 07 20:26:58 +0000 2018,0.569,0.431,0.0,Obama attacks 'crazy stuff' from Trump White House https://t.co/EqxeayHZQf,29
BBC,0.3382,Fri Sep 07 20:26:58 +0000 2018,0.715,0.0,0.285,"RT @BBCWorld: Well, it is colourful! 🤔

https://t.co/R63CwDYYKN",30
BBC,-0.296,Fri Sep 07 20:26:58 +0000 2018,0.909,0.091,0.0,"RT @MShapland: Operation Yellowhammer - named after the bird - who's song translates to ""a little bit of bread and no cheese"" 

I am not ma…",31
BBC,0.0,Fri Sep 07 20:26:58 +0000 2018,1.0,0.0,0.0,RT @d00little: So an American police officer walks into an apartment she ‘mistakenly’ thought was hers and shoots the black man inside....…,32
BBC,-0.5106,Fri Sep 07 20:26:57 +0000 2018,0.829,0.171,0.0,RT @MaeveSherlock: Jocelyn Bell Burnell: what a role model. Astrophysicist. Quaker. Failed 11-plus. Discovered pulsars as a student. Nobel…,33
BBC,0.5473,Fri Sep 07 20:26:57 +0000 2018,0.221,0.0,0.779,NICE https://t.co/8Q13SILrP6,34
BBC,0.0,Fri Sep 07 20:26:56 +0000 2018,1.0,0.0,0.0,These stories always rule: Spain parishioner botches Jesus and Mary statue restoration https://t.co/Svk4eTq40k,35
BBC,-0.296,Fri Sep 07 20:26:53 +0000 2018,0.885,0.115,0.0,"@_TrishalaPillai : I came across this while perusing the BBC. Had to ping you in case you missed it 🤗
https://t.co/sQraO65DvH",36
BBC,-0.4939,Fri Sep 07 20:26:50 +0000 2018,0.652,0.348,0.0,RT @bbcmtd: 'Prolific' burglar jailed https://t.co/emuJIeUVPi https://t.co/nVb8bSe6Kr,37
BBC,-0.128,Fri Sep 07 20:26:50 +0000 2018,0.936,0.064,0.0,"RT @boyfromcatford: If the BBC says that balance does not require including points of view detached from reality, why does it include peopl…",38
BBC,0.4939,Fri Sep 07 20:26:49 +0000 2018,0.833,0.0,0.167,"Commendable honesty &amp; realism from manager Gareth Southgate here as he talks about England's ""non-existent"" record… https://t.co/JO2g9SZN3V",39
BBC,0.0,Fri Sep 07 20:26:49 +0000 2018,1.0,0.0,0.0,@greenrd @MmmTea_____ @jessicazoeb @Dora_Chance @jameskirkup @BBC @NSPCC @Girlguiding Back to basics - do you think… https://t.co/zO669rCFEL,40
